Community_0.0_0.0 GCF_000010605.1_NC_010572.1_03779_1026
Community_0.0_0.0 GCF_000373305.1_NZ_KB890938.1_01093_1024
Community_0.0_0.0 GCF_000829695.1_NZ_BBNN01000060.1_04733_999
Community_0.0_0.0 GCF_001723115.1_NZ_MDDK01000287.1_05068_1010
Community_0.0_0.0 GCF_001905125.1_NZ_LWLE01000014.1_03241_1028
Community_0.0_0.0 GCF_001905905.1_NZ_LIVT01000003.1_01749_1017
Community_0.0_0.0 GCF_002082175.1_NZ_CP020570.1_03540_1012
Community_0.0_0.0 GCF_002114215.1_NZ_NCTE01000504.1_01138_1013
Community_0.0_0.0 GCF_002551345.1_NZ_NTHD01000109.1_06450_1005
Community_0.0_0.0 GCF_002910905.1_NZ_NEUE01000208.1_05089_995
Community_0.0_0.0 GCF_003665435.1_NZ_CP023407.1_04028_1003
Community_0.0_0.0 GCF_003675975.1_NZ_RCOL01000001.1_03929_1015
Community_0.0_0.0 GCF_003949895.1_NZ_RQIR01001565.1_00895_1018
Community_0.0_0.0 GCF_009862145.1_NZ_WWGV01000033.1_05490_1021
Community_0.0_0.0 GCF_009865365.1_NZ_WWJS01000020.1_01797_1004
Community_0.0_0.0 GCF_009866455.1_NZ_LRMW01000037.1_00790_998
Community_0.0_0.0 GCF_013167895.1_NZ_BLWC01000001.1_02781_997
Community_0.0_0.0 GCF_013409565.1_NZ_JACCCF010000001.1_02956_1000
Community_0.0_0.0 GCF_014650015.1_NZ_BMUD01000008.1_01194_1006
Community_0.0_0.0 GCF_018614515.1_NZ_JAGGOM010000033.1_02663_1025
Community_0.0_0.0 GCF_019203225.1_NZ_JAGTPS010000001.1_06028_1008
Community_0.0_0.0 GCF_019350955.1_NZ_QODL01000830.1_03551_996
Community_0.0_0.0 GCF_019389735.1_NZ_QKJZ01000003.1_05359_1027
Community_0.0_0.0 GCF_019389775.1_NZ_QKJW01000005.1_07001_1030
Community_0.0_0.0 GCF_019389795.1_NZ_QKJY01000002.1_04164_1023
Community_0.0_0.0 GCF_019389835.1_NZ_QKKA01000001.1_05638_1022
Community_0.0_0.0 GCF_020640855.1_NZ_JAJDST010000047.1_02812_1011
Community_0.0_0.0 GCF_020783515.1_NZ_CP086174.1_03218_1009
Community_0.0_0.0 GCF_020783535.1_NZ_CP086175.1_03217_1002
Community_0.0_0.0 GCF_020783555.1_NZ_CP086176.1_03219_1033
Community_0.0_0.0 GCF_020783575.1_NZ_CP086173.1_03218_1031
Community_0.0_0.0 GCF_020783595.1_NZ_CP086178.1_03216_1019
Community_0.0_0.0 GCF_020783615.1_NZ_CP086179.1_03218_1007
Community_0.0_0.0 GCF_020783635.1_NZ_CP086177.1_03215_1032
Community_0.0_0.0 GCF_020873925.1_NZ_JAHWGO010000002.1_02909_1029
Community_0.0_0.0 GCF_023930305.1_NZ_JAJQKZ010000005.1_04044_1014
